테마분류,코스 아이디,관광지 아이디,지역 아이디,관광지명,경도(도),위도(도),코스순서,이동시간,실내구분,테마명
TH03,73,7301,4163034003,(양주)교현 우이령길 입구,126.969972,37.701418,1,0,실외,자연/힐링
TH03,73,7302,4163034003,(양주)교현탐방지원센터,126.975803,37.698524,2,2,실외,자연/힐링
TH05,73,7303,4163034003,(양주)석굴암,126.994428,37.695342,3,3,실외,종교/역사/전통
TH03,73,7304,4163034003,(양주)오봉산 전망대,126.99241,37.689696,4,5,실외,자연/힐링
TH05,73,7305,1130564501,(서울)대전차 장애물,127.003597,37.675264,5,6,실외,종교/역사/전통
TH03,73,7306,1130564501,(서울)우이 우이령길 입구,127.011619,37.664431,6,8,실외,자연/힐링
TH05,74,7401,1168051000,(서울)봉은사,127.057458,37.515421,1,0,실외,종교/역사/전통
TH05,74,7402,1171056601,(서울)영화사,127.098223,37.554252,2,2,실외,종교/역사/전통
TH05,74,7403,1111054000,(서울)조계사,126.98223,37.574068,3,4,실외,종교/역사/전통
TH05,74,7404,1141062000,(서울)봉원사,126.946323,37.575879,4,5,실외,종교/역사/전통
TH05,74,7405,4128156000,(서울)승가사,126.960735,37.626816,5,7,실외,종교/역사/전통
TH03,75,7501,1171051000,(서울)천호역,127.123431,37.538462,1,0,실외,자연/힐링
TH05,75,7502,1171051000,(서울)미래마을/풍납토성,127.114194,37.535831,2,1,실외,종교/역사/전통
TH05,75,7503,1171056601,(서울)칠지도 상징물,127.117791,37.524385,3,3,실외,종교/역사/전통
TH05,75,7504,1171056601,(서울)몽촌토성,127.122791,37.52195,4,4,실외,종교/역사/전통
TH05,75,7505,1171056601,(서울)한성백제박물관,127.120636,37.515247,5,5,실내,종교/역사/전통
TH05,76,7601,1111063000,(서울)흥인지문,127.00966,37.571158,1,0,실외,종교/역사/전통
TH01,76,7602,1114059000,(서울)평화시장 벽화,127.006077,37.569279,2,1,실외,문화/예술
TH01,76,7603,1114059000,(서울)동대문디자인플라자,127.009456,37.566917,3,1,실내,문화/예술
TH05,76,7604,1114059000,(서울)동대문역사문화공원,127.011007,37.567285,4,2,실외,종교/역사/전통
TH05,76,7605,1114059000,(서울)동대문 실크로드 이정표,127.004895,37.56528,5,3,실외,종교/역사/전통
TH03,76,7606,1114059000,(서울)훈련원 공원,127.003698,37.5673,6,3,실외,자연/힐링
TH06,76,7607,1114060500,(서울)방산시장,126.999602,37.567328,7,4,실외,쇼핑/놀이
TH06,76,7608,1111061500,(서울)광장시장,126.9996,37.570041,8,4,실외,쇼핑/놀이
